HHID,Area Type,Workers,Life Cycle,1,2,3,4
1,1,1,1,0.04485,0.0138,0.005914,0.00345
2,1,2,1,0.0414,0.101528,0.063578,0.066535
3,1,3,1,0.006407,0.034007,0.040907,0.103499
4,1,4,1,0.000493,0.001479,0.0069,0.01725
5,1,5,1,0,0.000986,0.002464,0.002464
6,1,1,2,0.005914,0.001971,0,0
7,1,2,2,0.004436,0.0069,0.000986,0
8,1,3,2,0,0,0,0
9,1,4,2,0.000493,0,0,0
10,1,5,2,0,0,0,0
11,1,1,3,0.019714,0.019714,0.012321,0.005914
12,1,2,3,0,0,0,0
13,1,3,3,0,0,0,0
14,1,4,3,0,0,0,0
15,1,5,3,0,0,0,0
16,1,1,4,0.024643,0.005421,0.000493,0.002957
17,1,2,4,0.020207,0.021686,0.023164,0.042878
18,1,3,4,0.005421,0.018728,0.036964,0.120256
19,1,4,4,0.000493,0.001971,0.009857,0.023164
20,1,5,4,0,0,0.000986,0.004436
21,2,1,1,0.015407,0.008804,0.002201,0.002935
22,2,2,1,0.019076,0.073368,0.052091,0.067498
23,2,3,1,0.005869,0.027146,0.04182,0.102715
24,2,4,1,0.000734,0.003668,0.010271,0.027146
25,2,5,1,0,0,0.002935,0.000734
26,2,1,2,0.005869,0.002935,0,0
27,2,2,2,0.00807,0.004402,0.001467,0.002201
28,2,3,2,0.002935,0,0,0.001467
29,2,4,2,0,0,0.000734,0.001467
30,2,5,2,0,0,0.000734,0.000734
31,2,1,3,0.04182,0.057227,0.033749,0.024211
32,2,2,3,0,0,0,0
33,2,3,3,0,0,0,0
34,2,4,3,0,0,0,0
35,2,5,3,0,0,0,0
36,2,1,4,0.008804,0.002201,0.000734,0.003668
37,2,2,4,0.008804,0.021277,0.021277,0.044021
38,2,3,4,0.003668,0.015407,0.038151,0.133529
39,2,4,4,0,0,0.00807,0.027146
40,2,5,4,0,0,0.002201,0.006603
41,3,1,1,0.019417,0.012945,0,0
42,3,2,1,0.012945,0.061489,0.038835,0.064725
43,3,3,1,0.003236,0.022654,0.064725,0.126214
44,3,4,1,0.003236,0,0.006472,0.029126
45,3,5,1,0.003236,0,0,0
46,3,1,2,0,0,0,0
47,3,2,2,0.003236,0.003236,0,0
48,3,3,2,0.003236,0.003236,0,0
49,3,4,2,0,0,0,0.003236
50,3,5,2,0,0,0,0
51,3,1,3,0.045307,0.048544,0.048544,0.042071
52,3,2,3,0,0,0,0
53,3,3,3,0,0,0,0
54,3,4,3,0,0,0,0
55,3,5,3,0,0,0,0
56,3,1,4,0.012945,0.003236,0,0.003236
57,3,2,4,0,0.022654,0.02589,0.032362
58,3,3,4,0.003236,0.019417,0.038835,0.126214
59,3,4,4,0.003236,0,0.019417,0.016181
60,3,5,4,0,0,0.003236,0
